Kind,Name,AvgLineComment,AvgLineCode,AltCountLineCode,AltCountLineComment,CountClassDerived,CountClassCoupled,CountDeclMethodAll,MaxInheritanceTree,PercentLackOfCohesion
File,"7zAes.cpp",0,13,215,12,,,,,
File,"7zAes.h",6,99,94,5,,,,,
File,"7zAesRegister.cpp",0,5,10,1,,,,,
File,"7zBuf.h",0,0,24,2,,,,,
File,"7zBuf2.c",0,10,42,2,,,,,
File,"7zCompressionMode.cpp",0,0,1,1,,,,,
File,"7zCompressionMode.h",0,16,50,9,,,,,
File,"7zCrc.c",0,10,100,4,,,,,
File,"7zCrc.h",0,0,13,3,,,,,
File,"7zCrcOpt.c",0,22,99,2,,,,,
File,"7zDecode.cpp",16,160,420,36,,,,,
File,"7zDecode.h",0,5,47,3,,,,,
File,"7zEncode.cpp",7,104,474,44,,,,,
File,"7zEncode.h",6,114,67,3,,,,,
File,"7zExtract.cpp",4,81,314,15,,,,,
File,"7zFolderInStream.cpp",0,21,112,2,,,,,
File,"7zFolderInStream.h",0,50,44,1,,,,,
File,"7zHandler.cpp",14,66,582,107,,,,,
File,"7zHandler.h",0,69,126,3,,,,,
File,"7zHandlerOut.cpp",11,41,593,216,,,,,
File,"7zHeader.cpp",0,0,9,4,,,,,
File,"7zHeader.h",0,20,102,11,,,,,
File,"7zIn.cpp",4,27,1273,183,,,,,
File,"7zIn.h",9,134,298,58,,,,,
File,"7zItem.h",4,72,125,28,,,,,
File,"7zOut.cpp",3,21,714,111,,,,,
File,"7zOut.h",13,103,228,46,,,,,
File,"7zProperties.cpp",2,13,135,12,,,,,
File,"7zProperties.h",0,0,15,1,,,,,
File,"7zRegister.cpp",0,7,13,1,,,,,
File,"7zSpecStream.cpp",0,8,17,1,,,,,
File,"7zSpecStream.h",0,20,26,1,,,,,
File,"7zStream.c",0,8,148,2,,,,,
File,"7zTypes.h",0,0,177,23,,,,,
File,"7zUpdate.cpp",40,170,1744,417,,,,,
File,"7zUpdate.h",3,23,81,34,,,,,
File,"7zVersion.h",0,0,18,0,,,,,
Function,"ARMT_Convert",,,33,0,,,,,
Function,"ARM_Convert",,,26,0,,,,,
Class,"AString",0,6,544,53,0,0,81,0,56
Public Function,"AString::AString",,,8,0,,,,,
Public Function,"AString::AString",,,5,0,,,,,
Public Function,"AString::AString",,,5,0,,,,,
Private Function,"AString::AString",,,8,0,,,,,
Private Function,"AString::AString",,,9,0,,,,,
Private Function,"AString::AString",,,7,0,,,,,
Public Function,"AString::AString",,,6,0,,,,,
Public Function,"AString::AddAscii",,,1,0,,,,,
Public Function,"AString::Add_LF",,,1,0,,,,,
Public Function,"AString::Add_PathSepar",,,1,0,,,,,
Public Function,"AString::Add_Space",,,1,0,,,,,
Public Function,"AString::Add_Space_if_NotEmpty",,,1,0,,,,,
Public Const Function,"AString::Back",,,1,0,,,,,
Public Function,"AString::Delete",,,10,0,,,,,
Public Function,"AString::Delete",,,5,0,,,,,
Public Function,"AString::DeleteBack",,,1,0,,,,,
Public Function,"AString::DeleteFrom",,,8,0,,,,,
Public Function,"AString::DeleteFrontal",,,8,0,,,,,
Public Function,"AString::Empty",,,1,0,,,,,
Public Const Function,"AString::Find",,,7,22,,,,,
Public Const Function,"AString::Find",,,5,0,,,,,
Public Const Function,"AString::Find",,,1,0,,,,,
Public Const Function,"AString::Find",,,1,0,,,,,
Public Function,"AString::GetBuf",,,6,0,,,,,
Public Function,"AString::GetBuf_SetEnd",,,9,0,,,,,
Private Function,"AString::Grow",,,11,0,,,,,
Private Function,"AString::Grow_1",,,8,0,,,,,
Public Function,"AString::Insert",,,10,0,,,,,
Public Function,"AString::Insert",,,10,0,,,,,
Public Function,"AString::InsertAtFront",,,8,0,,,,,
Private Function,"AString::InsertSpace",,,5,0,,,,,
Public Const Function,"AString::IsAscii",,,9,0,,,,,
Public Const Function,"AString::IsEmpty",,,1,0,,,,,
Public Const Function,"AString::IsEqualTo",,,1,0,,,,,
Public Const Function,"AString::IsEqualTo_Ascii_NoCase",,,1,0,,,,,
Public Const Function,"AString::IsPrefixedBy",,,1,0,,,,,
Public Const Function,"AString::IsPrefixedBy_Ascii_NoCase",,,14,0,,,,,
Public Const Function,"AString::Left",,,1,0,,,,,
Public Const Function,"AString::Len",,,1,0,,,,,
Public Function,"AString::MakeLower_Ascii",,,1,0,,,,,
Public Const Function,"AString::Mid",,,1,0,,,,,
Private Function,"AString::MoveItems",,,4,0,,,,,
Public Const Function,"AString::Ptr",,,1,0,,,,,
