#_NOTE:_SHOULD_NOT_BE_LOCATED_IN_PHYLOTOOL_DIRECTORY..._(along_with_all_user_data...)
#FORMATTING:
#--newick_expression_taxon_name, swap_name
#--NEWICK TAXON NAMES --> restricted to chacrters a-Z, '_'

#NOTE: 59 names with 1 duplicate => "tree shrew"
#MISSING: Glis glis (fat dormouse) + Vombatus ursinus (Wombat)

Orycteropus_afer, aardvark
Loxodonta_africana, African elephant
Lama_pacos,alpaca
Equus_asinus,donkey
Odobenus_rosmarus_rosmarus, walrus
Tachyglossus_aculeatus, echidna
Bos_taurus,cow
Trichosurus_vulpecula, brushtailed possum
Hylobates_lar, gibbon
Macropus_robustus, wallaroo
Canis_familiaris, dog
Felis_catus, cat
Cavia_porcellus, guinea pigm
Dugong_dugon, manatees
Echinosorex_gymnura, lesser hedgehog tenrec
Sciurus_vulgaris, squirrel
Lepus_europaeus, brown hare
Talpa_europaea, European mole
Balaenoptera_physalus, fin whale
Halichoerus_grypus, grey seal
Thryonomys_swinderianus, cane rat 
Rhinoceros_unicornis, Indian rhinoceros
Papio_hamadryas, hamadryas baboon
Hippopotamus_amphibius, hippopotamus
Equus_caballus, horse
Cephalopachus_bancanus, tarsier
Mouse, mouse
Homo_sapiens, human
Artibeus_jamaicensis, Jamaican fruit bat
Pteropus_scapulatus, little red flying fox
Manis_tetradactyla, pangolin
Chalinolobus_tuberculatus, NZ long-tailed bat
Dasypus_novemcinctus, armadillo
Didelphis_virginiana, opossum
Isoodon_macrourus, bandicoot
Tupaia_belangeri_A, tree shrew_A
Tupaia_belangeri_B, tree shrew_B
Rattus_norvegicus, brown rat
Ochotona_collaris, pika
Sus_scrofa, echidna
Ornithorhynchus_anatinus, platypus
Ursus_maritimus, polar bear
Oryctolagus_cuniculus, rabbit
Lemur_catta, ring-tailed lemur
Ovis_aries, sheep
Macroscelides_proboscideus, elephant schrew
Nycticebus_coucang, slow loris
Echinops_telfairi, hedgehog tenrec
Tamandua_tetradactyla, anteater
Physeter_macrocephalus, sperm whale
Eumetopias_jubatus, sea lion
Pongo_abelii, orangutan
Cynocephalus_variegatus, flying lemur
Soriculus_fumidus, aslatic shrew
Microtus_kikuchii, Taiwan vole
Erinaceus_europaeus, hedgehog
Gorilla_gorilla_gorilla, gorilla
Ceratotherium_simum, white rhinoceros
Cebus_albifrons, capuchin
