
****************************************

  MemTrackerLog 

       Apr 10 2021  
       11:03:12  

****************************************

External Libs: 

Leak(0)  16 bytes ref:1240 
Leak(1)  16 bytes ref:1241 
Leak(2)  16 bytes ref:1242 
Leak(3)  16 bytes ref:1243 
Leak(4)  16 bytes ref:1244 
Leak(5)  16 bytes ref:1245 
Leak(6)  16 bytes ref:1246 
Leak(7)  16 bytes ref:1247 
Leak(8)  16 bytes ref:1248 
Leak(9)  16 bytes ref:1249 
Leak(10)  16 bytes ref:1250 
Leak(11)  16 bytes ref:1251 
Leak(12)  16 bytes ref:1252 
Leak(13)  16 bytes ref:1253 
Leak(14)  16 bytes ref:1254 
Leak(15)  16 bytes ref:1255 
Leak(16)  16 bytes ref:1256 
Leak(17)  16 bytes ref:1257 
Leak(18)  16 bytes ref:1258 
Leak(19)  16 bytes ref:1259 
Leak(20)  16 bytes ref:1260 
Leak(21)  16 bytes ref:1261 
Leak(22)  16 bytes ref:1262 
Leak(23)  16 bytes ref:1263 
Leak(24)  16 bytes ref:1264 
Leak(25)  16 bytes ref:1265 
Leak(26)  16 bytes ref:1266 
Leak(27)  16 bytes ref:1267 
Leak(28)  16 bytes ref:1268 
Leak(29)  16 bytes ref:1269 
Leak(30)  16 bytes ref:1270 
Leak(31)  16 bytes ref:1271 
Leak(32)  16 bytes ref:1272 
Leak(33)  16 bytes ref:1274 
Leak(34)  16 bytes ref:1275 
Leak(35)  16 bytes ref:1276 
Leak(36)  16 bytes ref:1277 
Leak(37)  16 bytes ref:1278 
Leak(38)  16 bytes ref:1279 
Leak(39)  16 bytes ref:1280 
Leak(40)  16 bytes ref:1281 
Leak(41)  16 bytes ref:1282 
Leak(42)  16 bytes ref:1283 
Leak(43)  16 bytes ref:1284 
Leak(44)  16 bytes ref:1285 
Leak(45)  16 bytes ref:1286 
Leak(46)  16 bytes ref:1287 
Leak(47)  16 bytes ref:1288 
Leak(48)  16 bytes ref:1289 
Leak(49)  16 bytes ref:1290 
Leak(50)  16 bytes ref:1291 
Leak(51)  16 bytes ref:1292 
Leak(52)  16 bytes ref:1293 
Leak(53)  16 bytes ref:1294 
Leak(54)  16 bytes ref:1295 
Leak(55)  16 bytes ref:1296 
Leak(56)  16 bytes ref:1297 
Leak(57)  16 bytes ref:1298 
Leak(58)  16 bytes ref:1299 
Leak(59)  16 bytes ref:1300 
Leak(60)  16 bytes ref:1301 
Leak(61)  16 bytes ref:1302 
Leak(62)  16 bytes ref:1303 
Leak(63)  16 bytes ref:1304 
Leak(64)  16 bytes ref:1305 
Leak(65)  16 bytes ref:1306 
Leak(66)  16 bytes ref:2155 
Leak(67)  16 bytes ref:2156 
Leak(68)  16 bytes ref:2157 
Leak(69)  1008 bytes ref:2158 
Leak(70)  16 bytes ref:2177 
Leak(71)  16 bytes ref:2178 
Leak(72)  16 bytes ref:2179 
Leak(73)  1008 bytes ref:2180 
Leak(74)  16 bytes ref:2199 
Leak(75)  16 bytes ref:2200 
Leak(76)  16 bytes ref:2201 
Leak(77)  1008 bytes ref:2202 
Leak(78)  16 bytes ref:2221 
Leak(79)  16 bytes ref:2222 
Leak(80)  16 bytes ref:2223 
Leak(81)  1008 bytes ref:2224 
Leak(82)  16 bytes ref:2243 
Leak(83)  16 bytes ref:2244 
Leak(84)  16 bytes ref:2245 
Leak(85)  1008 bytes ref:2246 
Leak(86)  16 bytes ref:2265 
Leak(87)  16 bytes ref:2266 
Leak(88)  16 bytes ref:2267 
Leak(89)  1008 bytes ref:2268 
Leak(90)  16 bytes ref:2287 
Leak(91)  16 bytes ref:2288 
Leak(92)  16 bytes ref:2289 
Leak(93)  1008 bytes ref:2290 
