hCoV-19/Wuhan/WIV06/2019|EPI ISL 402129|2019-12-30 : 0.184521
hCoV-19/Wuhan/WIV07/2019|EPI ISL 402130|2019-12-30 : 0.184606
hCoV-19/Guangdong/20SF012/2020|EPI ISL 403932|2020-01-14 : 0.184983
hCoV-19/Guangdong/20SF013/2020|EPI ISL 403933|2020-01-15 : 0.185010
hCoV-19/Guangdong/20SF014/2020|EPI ISL 403934|2020-01-15 : 0.184719
hCoV-19/Guangdong/20SF025/2020|EPI ISL 403935|2020-01-15 : 0.185010
hCoV-19/Guangdong/20SF028/2020|EPI ISL 403936|2020-01-17 : 0.184961
hCoV-19/Guangdong/20SF040/2020|EPI ISL 403937|2020-01-18 : 0.184960
hCoV-19/Wuhan/IPBCAMS-WH-03/2019|EPI ISL 403930|2019-12-30 : 0.184388
hCoV-19/Wuhan/HBCDC-HB-01/2019|EPI ISL 402132|2019-12-30 : 0.184613
hCoV-19/Zhejiang/WZ-01/2020|EPI ISL 404227|2020-01-16 : 0.184283
hCoV-19/Zhejiang/WZ-02/2020|EPI ISL 404228|2020-01-17 : 0.184296
hCoV-19/bat/Yunnan/RaTG13/2013|EPI ISL 402131|2013-07-24 : 0.100101
hCoV-19/USA/WA1/2020|EPI ISL 404895|2020-01-19 : 0.184627
hCoV-19/Finland/1/2020|EPI ISL 407079|2020-01-29 : 0.184272
hCoV-19/Shenzhen/HKU-SZ-005/2020|EPI ISL 405839|2020-01-11 : 0.184239
hCoV-19/Shenzhen/HKU-SZ-002/2020|EPI ISL 406030|2020-01-10 : 0.184144
hCoV-19/USA/IL1/2020|EPI ISL 404253|2020-01-21 : 0.183470
hCoV-19/USA/CA1/2020|EPI ISL 406034|2020-01-23 : 0.184147
hCoV-19/USA/CA2/2020|EPI ISL 406036|2020-01-22 : 0.184437
hCoV-19/USA/AZ1/2020|EPI ISL 406223|2020-01-22 : 0.184388
hCoV-19/Guangdong/20SF174/2020|EPI ISL 406531|2020-01-22 : 0.184584
hCoV-19/Guangzhou/20SF206/2020|EPI ISL 406533|2020-01-22 : 0.184696
hCoV-19/Foshan/20SF207/2020|EPI ISL 406534|2020-01-22 : 0.184768
hCoV-19/Foshan/20SF210/2020|EPI ISL 406535|2020-01-22 : 0.184928
hCoV-19/Foshan/20SF211/2020|EPI ISL 406536|2020-01-22 : 0.184921
hCoV-19/Guangdong/20SF201/2020|EPI ISL 406538|2020-01-23 : 0.184738
hCoV-19/Shenzhen/SZTH-002/2020|EPI ISL 406593|2020-01-13 : 0.184395
hCoV-19/Shenzhen/SZTH-003/2020|EPI ISL 406594|2020-01-16 : 0.184159
hCoV-19/France/IDF0373/2020|EPI ISL 406597|2020-01-23 : 0.184193
hCoV-19/France/IDF0372/2020|EPI ISL 406596|2020-01-23 : 0.184250
hCoV-19/Germany/BavPat1/2020|EPI ISL 406862|2020-01-28 : 0.183919
hCoV-19/China/WHU01/2020|EPI ISL 406716|2020-01-02 : 0.184703
hCoV-19/China/WHU02/2020|EPI ISL 406717|2020-01-02 : 0.184703
hCoV-19/Wuhan/WH03/2020|EPI ISL 406800|2020-01-01 : 0.184609
hCoV-19/Wuhan/WH04/2020|EPI ISL 406801|2020-01-05 : 0.184559
hCoV-19/Hangzhou/HZ-1/2020|EPI ISL 406970|2020-01-20 : 0.184181
hCoV-19/Singapore/1/2020|EPI ISL 406973|2020-01-23 : 0.184329
hCoV-19/USA/WA1-A12/2020|EPI ISL 407214|2020-01-25 : 0.184678
hCoV-19/Hangzhou/HZCDC0001/2020|EPI ISL 407313|2020-01-19 : 0.184259
hCoV-19/Australia/NSW01/2020|EPI ISL 407893|2020-01-24 : 0.183995
hCoV-19/Belgium/GHB-03021/2020|EPI ISL 407976|2020-02-03 : 0.185335
hCoV-19/Singapore/3/2020|EPI ISL 407988|2020-02-01 : 0.184308
hCoV-19/Singapore/2/2020|EPI ISL 407987|2020-01-25 : 0.184478
hCoV-19/USA/CA5/2020|EPI ISL 408010|2020-01-29 : 0.184461
hCoV-19/USA/CA4/2020|EPI ISL 408009|2020-01-29 : 0.184863
hCoV-19/USA/CA3/2020|EPI ISL 408008|2020-01-29 : 0.184864
hCoV-19/France/IDF0515/2020|EPI ISL 408430|2020-01-29 : 0.184161
hCoV-19/Yunnan/IVDC-YN-003/2020|EPI ISL 408480|2020-01-17 : 0.185685
hCoV-19/Chongqing/IVDC-CQ-001/2020|EPI ISL 408481|2020-01-18: 0.185571
hCoV-19/Shandong/IVDC-SD-001/2020|EPI ISL 408482|2020-01-19 : 0.185281
hCoV-19/Sichuan/IVDC-SC-001/2020|EPI ISL 408484|2020-01-15 : 0.185457
hCoV-19/Jiangxi/IVDC-JX-002/2020|EPI ISL 408486|2020-01-11 : 0.185719
hCoV-19/Jiangsu/IVDC-JS-001/2020|EPI ISL 408488|2020-01-19 : 0.185194
hCoV-19/Taiwan/NTU01/2020|EPI ISL 408489|2020-01-31 : 0.182782
hCoV-19/Wuhan/IVDC-HB-envF13-20/2020|EPI ISL 408514|2020-01-: 0.184069
hCoV-19/Wuhan/IVDC-HB-envF13-21/2020|EPI ISL 408515|2020-01-: 0.184103
hCoV-19/Japan/TY-WK-012/2020|EPI ISL 408665|2020-01-29 : 0.184424
hCoV-19/Japan/TY-WK-501/2020|EPI ISL 408666|2020-01-31 : 0.184464
hCoV-19/Japan/TY-WK-521/2020|EPI ISL 408667|2020-01-31 : 0.184386
hCoV-19/Japan/KY-V-029/2020|EPI ISL 408669|2020-01-29 : 0.184291
hCoV-19/Wuhan/IPBCAMS-WH-02/2019|EPI ISL 403931|2019-12-30 : 0.184283
hCoV-19/Wuhan/IPBCAMS-WH-04/2019|EPI ISL 403929|2019-12-30 : 0.184508
hCoV-19/Wuhan/IPBCAMS-WH-05/2020|EPI ISL 403928|2020-01-01 : 0.184348
hCoV-19/Shenzhen/SZTH-004/2020|EPI ISL 406595|2020-01-16 : 0.183408
hCoV-19/Taiwan/2/2020|EPI ISL 406031|2020-01-23 : 0.184180
hCoV-19/Sydney/2/2020|EPI ISL 408976|2020-01-22 : 0.184015
hCoV-19/Sydney/3/2020|EPI ISL 408977|2020-01-25 : 0.184305
hCoV-19/USA/IL2/2020|EPI ISL 410045|2020-01-28 : 0.184247
hCoV-19/USA/MA1/2020|EPI ISL 409067|2020-01-29 : 0.184026
hCoV-19/Chongqing/YC01/2020|EPI ISL 408478|2020-01-21 : 0.184378
hCoV-19/Chongqing/ZX01/2020|EPI ISL 408479|2020-01-23 : 0.184749
hCoV-19/Nepal/61/2020|EPI ISL 410301|2020-01-13 : 0.184176
hCoV-19/Japan/OS-20-07-1/2020|EPI ISL 410532|2020-01-23 : 0.184500
hCoV-19/Japan/NA-20-05-1/2020|EPI ISL 410531|2020-01-25 : 0.184474
hCoV-19/Singapore/4/2020|EPI ISL 410535|2020-02-03 : 0.183820
hCoV-19/Singapore/6/2020|EPI ISL 410537|2020-02-09 : 0.184025
hCoV-19/Singapore/5/2020|EPI ISL 410536|2020-02-06 : 0.184237
hCoV-19/USA/WA1-F6/2020|EPI ISL 407215|2020-01-25 : 0.184679
hCoV-19/Australia/QLD03/2020|EPI ISL 410717|2020-02-05 : 0.184296
hCoV-19/Australia/QLD04/2020|EPI ISL 410718|2020-02-05 : 0.184296
hCoV-19/Singapore/7/2020|EPI ISL 410713|2020-01-27 : 0.184598
hCoV-19/Australia/QLD01/2020|EPI ISL 407894|2020-01-28 : 0.184130
hCoV-19/Australia/QLD02/2020|EPI ISL 407896|2020-01-30 : 0.184211
hCoV-19/Singapore/8/2020|EPI ISL 410714|2020-02-03 : 0.184240
hCoV-19/Singapore/9/2020|EPI ISL 410715|2020-02-04 : 0.184755
hCoV-19/Italy/INMI1-isl/2020|EPI ISL 410545|2020-01-29 : 0.185357
hCoV-19/Italy/INMI1-cs/2020|EPI ISL 410546|2020-01-31 : 0.183888
hCoV-19/France/IDF0372-isl/2020|EPI ISL 410720|2020-01-23 : 0.184336
hCoV-19/France/IDF0515-isl/2020|EPI ISL 410984|2020-01-29 : 0.185862
hCoV-19/Fujian/8/2020|EPI ISL 411060|2020-01-21 : 0.184496
hCoV-19/Fujian/13/2020|EPI ISL 411066|2020-01-22 : 0.184396
hCoV-19/France/IDF0571/2020|EPI ISL 411218|2020-02-02 : 0.184612
hCoV-19/France/IDF0386-islP1/2020|EPI ISL 411219|2020-01-28 : 0.184367
hCoV-19/France/IDF0386-islP3/2020|EPI ISL 411220|2020-01-28 : 0.184368
hCoV-19/Cambodia/0012/2020|EPI ISL 411902|2020-01-27 : 0.184409
hCoV-19/Taiwan/CGMH-CGU-01/2020|EPI ISL 411915|2020-01-25 : 0.184238
hCoV-19/Taiwan/3/2020|EPI ISL 411926|2020-01-24 : 0.184632
hCoV-19/Taiwan/4/2020|EPI ISL 411927|2020-01-28 : 0.184570
hCoV-19/South Korea/KCDC03/2020|EPI ISL 407193|2020-01-25: 0.183864
hCoV-19/Jiangsu/JS01/2020|EPI ISL 411950|2020-01-23 : 0.184193
hCoV-19/Jiangsu/JS03/2020|EPI ISL 411953|2020-01-24 : 0.184503
hCoV-19/Jiangsu/JS02/2020|EPI ISL 411952|2020-01-24 : 0.184024
hCoV-19/USA/CA7/2020|EPI ISL 411954|2020-02-06 : 0.184436
hCoV-19/USA/CA8/2020|EPI ISL 411955|2020-02-10 : 0.184622
hCoV-19/USA/TX1/2020|EPI ISL 411956|2020-02-11 : 0.184199
hCoV-19/Sweden/01/2020|EPI ISL 411951|2020-02-07 : 0.184026
hCoV-19/China/WH-09/2020|EPI ISL 411957|2020-01-08 : 0.184434
hCoV-19/Hefei/2/2020|EPI ISL 412026|2020-02-23 : 0.184601
hCoV-19/Hong Kong/VM20001061/2020|EPI ISL 412028|2020-01-22: 0.187686
hCoV-19/Vietnam/VR03-38142/2020|EPI ISL 408668|2020-01-24 : 0.183765
hCoV-19/Jingzhou/HBCDC-HB-01/2020|EPI ISL 412459|2020-01-08 : 0.183851
hCoV-19/USA/CA9/2020|EPI ISL 412862|2020-02-23 : 0.184544
hCoV-19/Wuhan/HBCDC-HB-02/2019|EPI ISL 412898|2019-12-30 : 0.184589
hCoV-19/Wuhan/HBCDC-HB-03/2019|EPI ISL 412899|2019-12-30 : 0.184641
hCoV-19/Germany/Baden-Wuerttemberg-1/2020|EPI ISL 412912|202: 0.183550
hCoV-19/China/IQTC01/2020|EPI ISL 412966|2020-02-05 : 0.184132
hCoV-19/China/IQTC02/2020|EPI ISL 412967|2020-01-29 : 0.183961
hCoV-19/Japan/Hu DP Kng 19-020/2020|EPI ISL 412968|2020-02-1: 0.184152
hCoV-19/Japan/Hu DP Kng 19-027/2020|EPI ISL 412969|2020-02-1: 0.184131
hCoV-19/Finland/FIN-25/2020|EPI ISL 412971|2020-02-25 : 0.182919
hCoV-19/USA/WA2/2020|EPI ISL 412970|2020-02-24 : 0.186111
hCoV-19/Italy/CDG1/2020|EPI ISL 412973|2020-02-20 : 0.185626
hCoV-19/Mexico/CDMX/InDRE 01/2020|EPI ISL 412972|2020-02-27 : 0.187109
hCoV-19/Italy/SPL1/2020|EPI ISL 412974|2020-01-29 : 0.184340
